,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
5073,1,0.092,6.141,259.7,0.014818000000000001,0.98135,1.35,598.0,30.24,32.8,52.0,6083.0,4.563,0.835,0.933
5074,0,1.473,5.6184,52110.0,0.770634,2.3875900000000003,75.82,472.0,11.73,70.6,23.0,5835.0,4.492,0.901,0.918
5075,0,0.81,6.2470099999999995,186980.0,0.53388,2.99762,50.2,516.0,16.82,62.452,23.0,5945.0,4.545,0.861,0.95
5076,1,0.083,7.71,235.4,0.013934,1.22806,2.12,535.0,19.39,64.75,22.0,5821.0,4.172,1.395,1.054
5077,1,0.623,3.643,227.5,0.014403000000000001,1.4203700000000001,1.8,758.0,78.2,26.6,70.0,5596.0,4.298,1.145,0.95
5078,0,0.071,4.234,266.8,0.014638,3.18892,5.15,951.0,193.23,50.54,48.0,5123.0,3.4419999999999997,3.224,1.051
5079,1,0.025,4.235,295.7,0.015506,1.0178399999999999,1.94,924.0,172.38,16.02,130.0,5596.0,4.298,1.145,0.95
5080,0,0.2807,4.969,246.9,0.014418,1.7157099999999998,1.57,617.0,34.24,40.4,385.00676798860127,5878.0,4.442,0.998,1.003
5081,0,0.735105477665469,3.62,23791.335898271933,0.28364628616454785,9.164413809369266,102.89177806760141,1085.3858276274318,7745.737022611685,76.73633334039822,385.00676798860127,5706.8232800782525,4.310156613411579,1.7287115530920585,1.0237061189001175
5082,0,0.33,6.79,131.4,0.010648000000000001,0.29273000000000005,0.85,715.0,61.78,13.37,96.0,5940.0,4.621,0.729,0.819
5083,1,0.761,5.3181,126.4,0.011234000000000001,0.1531,1.32,873.0,137.45,8.76,140.0,5611.0,4.388,1.073,1.026
5084,0,0.4963,2.947,96.3,0.009249,0.25063,0.74,1686.0,1908.55,2.307,741.0,5955.0,4.617,0.733,0.811
5085,1,0.127,13.309,233.1,0.013963,0.26863000000000004,3.78,677.0,49.76,42.587,19.0,6056.0,3.7969999999999997,2.481,1.408
